image,prediction
images_group_62_9074_3718.png,его
images_group_62_9074_3719.png,Императорскому
images_group_62_9074_3720.png,Воличеству.
images_group_62_9074_3721.png,Енисейскаго
images_group_62_9074_3722.png,Губернатора
images_group_62_9074_3723.png,Рапортъ
images_group_62_9074_3724.png,Всеподданнѣйше
images_group_62_9074_3725.png,допосъ
images_group_62_9074_3726.png,Вашему
images_group_62_9074_3727.png,Импе
images_group_62_9074_3728.png,раторскому
images_group_62_9074_3729.png,"Величеству,"
images_group_62_9074_3730.png,что
images_group_62_9074_3731.png,во
images_group_62_9074_3733.png,ренной
images_group_62_9074_3734.png,управленію
images_group_62_9074_3735.png,моему
images_group_62_9074_3736.png,губерніи
images_group_62_9074_3737.png,все
images_group_62_9074_3738.png,состоитъ
images_group_62_9074_3739.png,"благопосично,"
images_group_62_9074_3741.png,на
images_group_62_9074_3742.png,Высочайшее
images_group_62_9074_3743.png,усмотрѣніе
images_group_62_9074_3744.png,Ваше
images_group_62_9074_3745.png,годовой
images_group_62_9074_3746.png,отчетъ
images_group_62_9074_3747.png,о
images_group_62_9074_3748.png,состояніи
images_group_62_9074_3749.png,губерніи
images_group_62_9074_3750.png,за
images_group_62_9074_3751.png,1883
images_group_62_9074_3752.png,года
images_group_62_9074_3753.png,Подписалъ:
images_group_62_9074_3754.png,"Губернаторъ,"
images_group_62_9074_3755.png,Генералъ
images_group_62_9074_3756.png,Лейтенантъ
images_group_62_9074_3759.png,30
images_group_62_9074_3760.png,день
images_group_62_9074_3761.png,1884 года
images_group_62_9074_3762.png,No216
images_group_62_9074_3763.png,Красноярскъ
images_group_62_909_5796.png,Капиталъ
images_group_62_909_5797.png,сей
images_group_62_909_5798.png,состоить
images_group_62_909_5799.png,въ
images_group_62_909_5800.png,распо-
images_group_62_909_5801.png,ряженіи
images_group_62_909_5802.png,Енисейскаго
images_group_62_909_5803.png,Губернскаго 1
images_group_62_909_5804.png,Прав-
images_group_62_909_5805.png,ленія
images_group_62_909_5806.png,и числится
images_group_62_909_5807.png,по
images_group_62_909_5808.png,счетамъ
images_group_62_909_5809.png,Казна
images_group_62_909_5810.png,чействъ
images_group_62_909_5811.png,въ
images_group_62_909_5812.png,партикулярныхъ
images_group_62_909_5813.png,суммахъ
images_group_62_909_5814.png,сего
images_group_62_909_5815.png,учрежденія
images_group_62_909_5816.png,Военный
images_group_62_909_5817.png,Губернаторъ г.
images_group_62_909_5818.png,Красноярска
images_group_62_909_5819.png,и
images_group_62_909_5820.png,Енисейскій
images_group_62_909_5821.png,Гражданскій
images_group_62_909_5822.png,Губернаторъ
images_group_62_909_5823.png,Генералъ-
images_group_62_909_5824.png,Маіоръ
images_group_62_909_5825.png,Вѣдомость
images_group_62_909_5826.png,"О приходѣ,"
images_group_62_909_5827.png,расходѣ
images_group_62_909_5828.png,и
images_group_62_909_5829.png,остаткѣ
images_group_62_909_5830.png,суммъ
images_group_62_909_5831.png,по-
images_group_62_909_5832.png,Красноярскому
images_group_62_909_5833.png,Губернскому
images_group_62_909_5834.png,Тюремному
images_group_62_909_5835.png,Комитету
images_group_62_909_5836.png,и
images_group_62_909_5837.png,4-мъ Мужскимъ
images_group_62_909_5838.png,отдѣленіямъ
images_group_62_909_5839.png,За 1866 годъ
images_group_62_909_5840.png,Изъяс-
images_group_62_909_5842.png,Стати
images_group_62_909_5845.png,Чиновникъ
images_group_62_909_5846.png,Особыхъ
images_group_62_909_5847.png,Порученій
images_group_62_9096_6755.png,Iотя
images_group_62_9096_6756.png,урожай
images_group_62_9096_6757.png,хлѣба
images_group_62_9096_6758.png,оказался
images_group_62_9096_6759.png,надо-
images_group_62_9096_6760.png,влетворитель
images_group_62_9096_6761.png,"нымъ,"
images_group_62_9096_6762.png,на
images_group_62_9096_6763.png,затруденіе
images_group_62_9096_6765.png,для
images_group_62_9096_6766.png,обизначенія
images_group_62_9096_6767.png,жителей
images_group_62_9096_6768.png,продовольствіемъ
images_group_62_9096_6769.png,и
images_group_62_9096_6770.png,сѣменамъ
images_group_62_9096_6771.png,на носъ
images_group_62_9096_6772.png,въ
images_group_62_9096_6773.png,не
images_group_62_9096_6774.png,будетъ
images_group_62_9096_6775.png,пото-
images_group_62_9096_6776.png,"му,"
images_group_62_9096_6777.png,что
images_group_62_9096_6778.png,у
images_group_62_9096_6779.png,многихъ
images_group_62_9096_6780.png,"обывателей,"
images_group_62_9096_6781.png,въ
images_group_62_9096_6782.png,особен-
images_group_62_9096_6783.png,ности
images_group_62_9096_6784.png,въ
images_group_62_9096_6786.png,"округѣ,"
images_group_62_9096_6788.png,достаточныя
