image,ocr,corrected,gt,effect,gate_prob,gate_decision,cer_before,cer_after,cer_delta
images_group_62_9074_3718.png,его,его,Его,NOT_APPLIED,0.5623268619405317,False,1,1,0
images_group_62_9074_3719.png,Императорскому,Императорскому,Императорскому,NOT_APPLIED,0.07646542681741361,False,0,0,0
images_group_62_9074_3720.png,Воличеству.,Воличеству.,Величеству.,NOT_APPLIED,0.5503651944384397,False,1,1,0
images_group_62_9074_3721.png,Енисейскаго,Енисейскаго,Енисейского,NOT_APPLIED,0.22110466856692387,False,1,1,0
images_group_62_9074_3722.png,Губернатора,Губернатора,Губернатора.,NOT_APPLIED,0.45717232308874883,False,1,1,0
images_group_62_9074_3723.png,Рапортъ,Рапортъ,Рапортъ,NOT_APPLIED,0.2794586809173105,False,0,0,0
images_group_62_9074_3724.png,Всеподданнѣйше,Всеподданнѣйше,Всеподданными,NOT_APPLIED,0.9377445824648152,True,4,4,0
images_group_62_9074_3725.png,допосъ,допосъ,донося,NOT_APPLIED,0.9362485735954132,True,2,2,0
images_group_62_9074_3726.png,Вашему,Вашему,Вашему,NOT_APPLIED,0.18724405727626653,False,0,0,0
images_group_62_9074_3727.png,Импе,Импе,Импе,NOT_APPLIED,0.41856830824973174,False,0,0,0
images_group_62_9074_3728.png,раторскому,раторскому,раторскому,NOT_APPLIED,0.0749400338958897,False,0,0,0
images_group_62_9074_3729.png,"Величеству,","Величеству,","Величеству,",NOT_APPLIED,0.6513685392236319,False,0,0,0
images_group_62_9074_3730.png,что,что,что,NOT_APPLIED,0.1457419364857039,False,0,0,0
images_group_62_9074_3731.png,во,во,во,NOT_APPLIED,0.456284621023126,False,0,0,0
images_group_62_9074_3733.png,ренной,ренной,ренной,NOT_APPLIED,0.5332640667287991,False,0,0,0
images_group_62_9074_3734.png,управленію,управленію,управленію,NOT_APPLIED,0.35488252362793077,False,0,0,0
images_group_62_9074_3735.png,моему,моему,моему,NOT_APPLIED,0.19951619861207825,False,0,0,0
images_group_62_9074_3736.png,губерніи,губерніи,губерніи,NOT_APPLIED,0.3313904250434834,False,0,0,0
