row_id,token_before,token_after,before_text,after_text,gt_text
6,Всеподданнѣйше,Всеподданнѣйшій,Всеподданнѣйше,Всеподданнѣйшій,Всеподданными
7,допосъ,доносъ,допосъ,доносъ,донося
20,"благопосично,","благополучно,","благопосично,","благополучно,","благопослучно,"
99,затруденіе,затрудненіе,затруденіе,затрудненіе,затруденіи
101,обизначенія,обозначенія,обизначенія,обозначенія,обезпеченія
132,недоститковъ,недостатковъ,недоститковъ,недостатковъ,недостатокъ
137,дейтели,деятели,дейтели,деятели,деятели
139,удовлестворить,удовлетворить,удовлестворить,удовлетворить,удовлетворить
145,"магариновъ,","маргариновъ,","магариновъ,","маргариновъ,","магазиновъ,"
157,повертей;,повергай;,повертей;,повергай;,твертей;
161,рабково,рабкору,рабково,рабкору,работа
252,кредитным,кредитныя,кредитным,кредитныя,кредитныя
318,кормбыхъ,кормвыхъ,кормбыхъ,кормвыхъ,кормвыхъ
330,речаной,реечной,речаной,реечной,ржаной
351,Старифического,Статистического,Старифического,Статистического,Статистического
355,нумеров,нумеровъ,дѣвкѣ нумеров,дѣвкѣ нумеровъ,дѣкѣ ну меров
356,потод,пород,потод,пород,пятьд
360,Обора,Сбора,Обора,Сбора,Сбора
640,вродячи,вродяги,вродячи,вродяги,вродяги
655,несполне,невполне,несполне,невполне,невполне
658,сил,силе,сил,силе,слѣ
668,сибиръ,сибирь,сибиръ,сибирь,Сибирь
677,менщинъ.,женщинъ.,менщинъ.,женщинъ.,женщинъ.
695,открыти,открытий,открыти,открытий,открыто
710,литета,митета,литета,митета,митета
763,подрадчикомъ,подрядчикомъ,подрадчикомъ,подрядчикомъ,подрядчикамъ
767,окончина,окончила,окончина,окончила,окончена
786,Испров,Исправ,Испров,Исправ,Исправ
787,заиключеніемъ,заключеніемъ,заиключеніемъ,заключеніемъ,за исключеніемъ
845,Тапографія,Типографія,Тапографія,Типографія,Типографія
897,бумму,сумму,на бумму,на сумму,на сумму
939,масолѣпітву,малолѣтству,масолѣпітву,малолѣтству,малолѣтству
958,зноупотребленіе,злоупотребленіе,зноупотребленіе,злоупотребленіе,злоупотребленіе
994,Княгъ,Книгъ,Княгъ,Книгъ,Князь
1012,всѣмѣ,всѣму,всѣмѣ,всѣму,всѣмъ
1033,теп.,степ.,4-о теп.,4-о степ.,4-й степ.
1047,капеп.,каппу.,3 капеп.,3 каппу.,3-й степ.
1050,медило,медлило,медило,медлило,медалью
1052,надпишью,надписью,надпишью,надписью,надписью
1057,лебнія.,ленія.,лебнія.,ленія.,шенія.
1099,судимихъ,судимыхъ,судимихъ,судимыхъ,судимыхъ
1107,взыкнанія,взысканія,взыкнанія,взысканія,взысканія
1167,золотопроснышленника,золотопромышленника,золотопроснышленника,золотопромышленника,золотопромышленника
1180,кредитеры,кредиторы,кредитеры,кредиторы,кредиторы
1276,золотопромышленно,золотопромышленни,золотопромышленно,золотопромышленни,золотопромышленни
1316,копескъ,копеекъ,копескъ,копеекъ,копѣекъ
1320,рубла,русла,3 рубла,3 русла,3 рубли
1333,Подонесенію,Поднесенію,Подонесенію,Поднесенію,По донесенію
1344,Кандына,Кандина,Кандына,Кандина,Кандина
1439,Оскорѣшеніемъ,Оскорбленіемъ,Оскорѣшеніемъ,Оскорбленіемъ,О скорѣйшемъ
1462,допипъ,допивъ,допипъ,допивъ,одинъ
1486,стивѣсшему,стивѣйшему,стивѣсшему,стивѣйшему,стивѣйшему
1541,расложенія,разложенія,расложенія,разложенія,разложенія
1547,наковидно,какъвидно,наковидно,какъвидно,какъвидно
1618,вышеноказанныхъ,вышепоказанныхъ,вышеноказанныхъ,вышепоказанныхъ,вышепоказанныхъ
1619,учеблыкъ,учебнымъ,учеблыкъ,учебнымъ,учебныхъ
1642,череди,череду,череди,череду,очереди
1757,увелычивается;,увеличивается;,увелычивается;,увеличивается;,увеличивается;
1831,чрезвычай,чрезвычайны,чрезвычай но,чрезвычайны но,чрезвычайно
1879,причнанныхъ,пригнанныхъ,причнанныхъ,пригнанныхъ,признанныхъ
1896,Гавриля,Гаврилѣ,Гавриля Типо,Гаврилѣ Типо,Гаврила Тихо
1949,хлѣбна,хлѣбно,хлѣбна,хлѣбно,хлѣбно
2011,постановлен,постановлено,постановлен,постановлено,постановлені
2040,проному,проношу,проному,проношу,пооному
2061,Исправляющъ,Исправляютъ,Исправляющъ,Исправляютъ,Исправляюща
2072,скаю,скалю,скаю,скалю,скаго
2084,Гилева,Гилевѣ,Гилева,Гилевѣ,Гилевѣ
2096,Туруха,Турухан,Туруха,Турухан,Турухан
2165,магазинов,магазиновъ,магазинов,магазиновъ,магазиновъ
2182,инбажскаго,инбатскаго,инбажскаго,инбатскаго,инбатского
2183,кладочка,кладовка,с кладочка,с кладовка,складочка
2200,порохарусс,пороха,порохарусс,пороха,пороха рухляд
2204,налѣба.,налѣво.,налѣба.,налѣво.,и хлѣба.
2208,Поручина,Поручика,Поручина,Поручика,Поручика
2221,отнош,отношу,отнош,отношу,отноше
2275,непалученію,неполученію,По непалученію,По неполученію,По неполученію
2304,железныхъ,желѣзныхъ,железныхъ,желѣзныхъ,желѣзныхъ
2323,Корапорту,Порапорту,Корапорту,Порапорту,Порапорту
2357,Ивано,Иваном,волости Ивано Сухоров,волости Иваном Суворова,волости Ивана Сухфа
2357,Сухоров,Суворова,волости Ивано Сухоров,волости Иваном Суворова,волости Ивана Сухфа
2374,Эксподи,Экспеди,Эксподи,Экспеди,Экспеди
2392,омо,омой,омо,омой,емо
2409,Стах,Страх,Стах,Страх,Стан
2450,долотность,дословность,долотность,дословность,должность
2464,Похабод,Похабна,Похабод,Похабна,Похабову
2480,суд,суда,на суд,на суда,на су
2512,Сомсо,Сомо,Сомсо,Сомо,Сомо-
2622,Саррь,Саррѣ,Саррь,Саррѣ,Сарры
2627,Метеровлевой.,Мейеровичевой.,Метеровлевой.,Мейеровичевой.,Мейеровичевой.
2640,Менеровичевой,Мейеровичевой,Менеровичевой,Мейеровичевой,Мейеровичевой
2666,пороздаеѣ,пороздачѣ,пороздаеѣ,пороздачѣ,пороздачѣ
2679,взыскаными,взысканными,взыскаными съ,взысканными съ,взысканымъ съ
2681,Таускева,Тауснева,Таускева,Тауснева,Тауснева
2697,"претенций,","претензій,","претенций,","претензій,","претензій,"
2701,"долянникамъ,","должникамъ,","долянникамъ,","должникамъ,","должникамъ,"
2705,Мѣщаниня,Мѣщанину,Мѣщаниня,Мѣщанину,Мѣщанина
2707,Малѣсъ,Малѣ,Малѣсъ,Малѣ,Малѣевъ
2711,Авгуфе,Авгус,Авгуфе,Авгус,Августа
2743,"Комиссии,","Комиссіи,","Комиссии,","Комиссіи,","Коммисіи,"
2787,производот,производст,производот,производст,производст
2803,Коммина,Коммуна,Коммина,Коммуна,Коммисію
2840,Командиро,Командиру,Командиро,Командиру,Командира
2890,Исопредѣлительныхъ,Неопредѣлительныхъ,Исопредѣлительныхъ,Неопредѣлительныхъ,Неопредѣлительныхъ
2931,нін,ніе,нін,ніе,ніи
2982,прахтихурощихъ,практикующихъ,прахтихурощихъ Вра-,практикующихъ Вра-,практикующихъ Вра-
3110,Туруханско,Туруханскою,Туруханско,Туруханскою,Туруханскъ
3200,недостастъ,недостаетъ,недостастъ,недостаетъ,недостаетъ
3251,залогукъ,залогомъ,залогукъ,залогомъ,залогу къ
3272,приплду,приплоду,приплду,приплоду,приплоду:
3284,Логиадей,Лошадей,Логиадей,Лошадей,Лошадей
3325,Осурцовъ,Огурцовъ,Осурцовъ,Огурцовъ,Огурцовъ
3371,наэти,наити,наэти,наити,наоти
3436,Надворня,Надворная,Надворня,Надворная,Надворный
3574,Илющенко.,Млющенко.,Илющенко.,Млющенко.,Млющенко.
3709,Кортусу:,Коитусу:,Кортусу:,Коитусу:,Корпусу:
4084,Конол,Эконол,Конол,Эконол,Эконол
4336,Потылищинъ.,Потылицинъ.,Потылищинъ.,Потылицинъ.,Потылицинъ.
4344,Мокскевъ.,Моксеевъ.,Мокскевъ.,Моксеевъ.,Моксеевъ.
4431,Расколь,Расколъ,Расколь,Расколъ,Расколѣ
4501,пріемлющіх,пріемлющій,пріемлющіх,пріемлющій,пріемлющіе
4507,Iудействующую,Іудействующую,Iудействующую,Іудействующую,гу действующую
4686,Прилѣчаніе.,Примѣчаніе.,Прилѣчаніе.,Примѣчаніе.,Примѣчаніе.
4729,Думоѣ,Думѣ,Думоѣ,Думѣ,Думѣ
4983,бунскаго,бурскаго,бунскаго,бурскаго,бернскаго
